site,y.1,y.2,y.3,year,Herbicide,BA,Nsnags,Nburns,Nthins,Evergreen5km,Sky.1,Sky.2,Sky.3,Time.1,Time.2,Time.3
Mathis_1B_7,0,0,0,2018,1,73,0.4,1,2,3482.027018,5,3,0,202,223,225
Mills_0B_9,0,0,0,2018,1,107,2.6,2,2,2614.669971,4,4,0,159,197,9
Mills_1B_4,0,0,0,2018,1,107,0.6,2,2,3654.781331,0,4,5,12,173,183
Mills_1B_45,0,0,0,2018,0,106,0.4,0,1,4907.62615,4,0,3,165,239,16
Shealy_0B_2,0,1,0,2018,1,107,0.4,0,1,4306.352196,2,3,1,210,63,29
Shealy_0B_4,0,0,1,2018,1,118,1.8,1,1,4586.772129,3,4,5,220,116,13
Shealy_1B_3A,1,1,1,2018,1,114,1,1,1,4323.983496,5,5,4,188,103,141
Shealy_1B_E_S,1,0,0,2018,1,76,1.4,2,1,4309.705396,0,1,3,72,105,100
Shealy_2B_3,0,1,1,2018,1,74,4.2,1,1,3458.317085,5,0,0,101,20,151
Suggs_0B_E_S,0,1,0,2018,0,65,0.25,3,3,5028.667479,2,0,1,79,230,66
Swanson_2B_E_SW,0,0,0,2018,0,50,0,3,3,4934.64346,0,3,0,92,33,103
Swanson_3B_2,0,0,1,2018,1,89,1,3,1,5737.008098,0,2,0,159,227,220
Timberhaven_2B_1,0,1,1,2018,1,47,0,9,3,6115.105381,0,0,2,235,174,218
Timberhaven_3B_7,0,1,1,2018,1,40,0.4,8,3,5893.915888,0,4,3,219,63,140
Timberhaven_3B_8,0,0,1,2018,1,78,1.8,0,2,1361.625954,4,4,2,128,5,131
Turkey_Rd_2B_6A,0,0,0,2018,0,72,1,1,2,1440.334641,4,0,4,59,103,81
Turner_Abercrombie_0B_E_AB,0,0,0,2018,1,78,0.8,0,1,1559.636166,2,4,2,81,34,51
Turner_Abercrombie_1B_2,0,0,0,2018,0,74,0.8,0,2,1843.16394,3,5,1,27,106,111
Turner_Honea_Path_0B_1,0,0,0,2018,1,81,0.4,3,2,1892.394159,0,5,4,73,188,132
Turner_Honea_Path_0B_6,0,0,0,2018,1,79,0.6,3,2,1904.401578,1,4,4,67,211,90
Turner_Honea_Path_3B_1,0,0,0,2018,1,77,0,4,3,9637.845706,0,5,4,54,210,6
Turner_Honea_Path_3B_3,0,0,0,2018,1,65,0.2,2,2,5376.350716,5,1,2,119,83,97
